freq,c_dest,purpose,duration,unit,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 
A,AFR,TOTAL,N_GE1,NR,AL	: 	: 	: 	: 	: 	: u	: 	: u	: u	: 	: 	: 
A,AFR,TOTAL,N_GE1,NR,AT	192295 	218894 	242213 	260740 	133567 	236505 	264763 	267272 	59299 	42140 	260472 	303582 
A,AFR,TOTAL,N_GE1,NR,BE	449413 	568082 	412783 	413328 	311501 	501018 b	591077 	633504 	243342 	186973 	558291 	652962 
A,AFR,TOTAL,N_GE1,NR,BG	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,AFR,TOTAL,N_GE1,NR,CH	481309 	405839 	267054 	251734 u	210652 u	365049 	416633 	472112 	173270 	193388 	218409 	: 
A,AFR,TOTAL,N_GE1,NR,CY	12364 bu	13702 u	: u	: u	: u	: u	: u	: u	: u	: u	: u	24861 
A,AFR,TOTAL,N_GE1,NR,CZ	355770 	263460 	288719 	172287 	174432 	339432 	371926 	420655 	: u	194981 	600900 	583835 
A,AFR,TOTAL,N_GE1,NR,DE	2648012 	3085035 	3047756 	2565442 	2169551 	3882200 	4300153 	3663327 	788390 	1098279 	1963379 	2901535 
A,AFR,TOTAL,N_GE1,NR,DK	234532 	155776 bu	137369 u	135255 u	130858 u	111283 u	77272 u	201963 	: u	: u	119954 	: 
A,AFR,TOTAL,N_GE1,NR,EA20	8831169 	8579759 	8474945 	7277031 	5870979 	8848632 	10082130 	10388859 	2747355 	2750953 	7306805 	10394357 
A,AFR,TOTAL,N_GE1,NR,EE	40237 u	26733 u	25777 u	26262 u	: u	21739 u	50756 u	45877 u	28335 	32147 	32291 	60107 
A,AFR,TOTAL,N_GE1,NR,EL	: u	: u	12205 u	: u	: u	: u	: u	: u	: u	: u	: u	14946 
A,AFR,TOTAL,N_GE1,NR,ES	812559 	787499 	784872 	739327 b	842240 	931755 	1054519 	1076864 	191749 	257290 	928427 	1476979 
A,AFR,TOTAL,N_GE1,NR,EU27_2020	9989253 e	9539073 e	9525477 	8173689 	6610909 	10109200 	11201103 	11860306 	3003574 	3235507 	8537517 	11754024 e
A,AFR,TOTAL,N_GE1,NR,FI	114500 bu	81352 u	72107 u	: u	74686 u	: u	87352 u	123922 u	: u	: u	91793 	75907 
A,AFR,TOTAL,N_GE1,NR,FR	2492035 	2297175 	2064262 	1495457 	1248762 	1947089 	2209571 	2430260 	908460 	624700 	1900366 	2858485 
A,AFR,TOTAL,N_GE1,NR,HR	: u	: u	: u	: u	: u	: u	: u	: u	: 	: u	: u	: u
A,AFR,TOTAL,N_GE1,NR,HU	66812 	60654 	55966 	36499 	27143 	64231 	52965 	123119 	9681 	32900 	50350 	74656 
A,AFR,TOTAL,N_GE1,NR,IE	55236 u	71202 	79203 	69697 	54458 	60511 u	58021 	55130 u	30024 	: u	120120 	: u
A,AFR,TOTAL,N_GE1,NR,IT	1029570 	611662 	925293 bu	942033 u	463055 u	395070 u	419752 u	876197 u	: u	: u	559175 	808879 
A,AFR,TOTAL,N_GE1,NR,LT	22991 	22381 	39120 	28763 	26513 	41926 	73061 	84088 	19966 	33609 	60000 	80450 
A,AFR,TOTAL,N_GE1,NR,LU	37090 	41998 	40541 	27681 	31545 	49636 	49710 	48390 	24772 	31310 	73554 	79595 
A,AFR,TOTAL,N_GE1,NR,LV	: u	: u	: u	: u	: u	: u	: u	: u	: u	: u	32933 	63006 
A,AFR,TOTAL,N_GE1,NR,ME	: 	: 	: 	: 	: u	: 	: 	: 	: 	: 	: 	: 
A,AFR,TOTAL,N_GE1,NR,MK	: 	: 	: 	: 	: 	: 	: 	: u	: 	: u	: 	: 
A,AFR,TOTAL,N_GE1,NR,MT	9919 	12634 	10277 bu	: u	5264 u	6317 u	10086 u	9856 u	: u	: u	: u	8220 
A,AFR,TOTAL,N_GE1,NR,NL	567425 b	494282 	502251 	446786 	360574 	513866 	558727 	623212 	148701 	121916 	419003 	517290 
A,AFR,TOTAL,N_GE1,NR,NO	: 	95353 u	127567 u	143212 u	111604 u	99984 u	103103 u	: 	: 	: u	: 	: 
A,AFR,TOTAL,N_GE1,NR,PL	355508 	338093 	424490 b	419803 	208603 	242483 	308310 	341106 	72254 	147280 	316630 	442891 
A,AFR,TOTAL,N_GE1,NR,PT	117138 	88524 	83914 	96484 	68933 	97044 	161378 	164901 	27504 	31882 	159595 	181608 
